Spanish	Turkish	English
Estoy aprendiendo el judeoespañol.	Judeo-Espanyol öğreniyorum.	I am learning Judeo-Spanish.
Me levanto a las siete cada día.	Her gün yedide kalkarım.	I get up at seven every day.
Me gusta leer.	Okumayı severim.	I like reading.
Bebo café turco después del almuerzo.	Öğlen yemeğinden sonra Türk kahvesi içerim.	I drink turkish coffee after lunch.
Tengo dos niños; una hija y un hijo.	İki çocuğum var; biri kız biri erkek.	I have two children; a girl and a boy.
Estoy muy cansada.	Çok yorgunum.	I am very tired.
Mi padre es médico.	Babam doktordur.	My father is a doctor.
Tengo sed; dame un caso de agua por favor.	Susadım; bana bir bardak su ver lütfen.	I'm thirsty; give me a glass of water please.
El teléfono está sonando.	Telefon çalıyor.	The phone is ringing.
¡No comas mucho pan!	Çok ekmek yeme!	Don't eat too much bread!